time,discharge
2015-04-01 11:00:00,59.8246
2015-04-01 11:15:00,59.368
2015-04-01 11:30:00,59.8246
2015-04-01 11:45:00,59.2544
2015-04-01 12:00:00,58.2428
2015-04-01 12:15:00,59.5958
2015-04-01 12:30:00,58.9151
2015-04-01 12:45:00,59.028
2015-04-01 13:00:00,59.368
2015-04-01 13:15:00,59.028
2015-04-01 13:30:00,58.6901
2015-04-01 13:45:00,58.3542
2015-04-01 14:00:00,58.3542
2015-04-01 14:15:00,59.1411
2015-04-01 14:30:00,58.2428
2015-04-01 14:45:00,59.028
2015-04-01 15:00:00,59.1411
2015-04-01 15:15:00,58.9151
2015-04-01 15:30:00,58.466
2015-04-01 15:45:00,57.7992
2015-04-01 16:00:00,58.5779
2015-04-01 16:15:00,58.9151
2015-04-01 16:30:00,59.4818
2015-04-01 16:45:00,59.2544
2015-04-01 17:00:00,59.368
2015-04-01 17:15:00,58.3542
2015-04-01 17:30:00,58.1315
2015-04-01 17:45:00,58.5779
2015-04-01 18:00:00,58.3542
2015-04-01 18:15:00,58.1315
2015-04-01 18:30:00,58.8025
2015-04-01 18:45:00,58.466
2015-04-01 19:00:00,58.3542
2015-04-01 19:15:00,58.3542
2015-04-01 19:30:00,58.9151
2015-04-01 19:45:00,58.3542
2015-04-01 20:00:00,59.1411
2015-04-01 20:15:00,58.1315
2015-04-01 20:30:00,59.2544
2015-04-01 20:45:00,59.1411
2015-04-01 21:00:00,58.6901
2015-04-01 21:15:00,58.5779
2015-04-01 21:30:00,58.5779
2015-04-01 21:45:00,59.368
2015-04-01 22:00:00,58.6901
2015-04-01 22:15:00,58.2428
2015-04-01 22:30:00,59.028
2015-04-01 22:45:00,59.2544
2015-04-01 23:00:00,59.2544
2015-04-01 23:15:00,58.9151
2015-04-01 23:30:00,59.7101
2015-04-01 23:45:00,58.9151
2015-04-02 00:00:00,58.466
2015-04-02 00:15:00,58.9151
2015-04-02 00:30:00,59.4818
2015-04-02 00:45:00,59.9393
2015-04-02 01:00:00,57.5788
2015-04-02 01:15:00,58.8025
2015-04-02 01:30:00,58.3542
2015-04-02 01:45:00,59.1411
2015-04-02 02:00:00,58.2428
2015-04-02 02:15:00,59.1411
2015-04-02 02:30:00,58.2428
2015-04-02 02:45:00,58.9151
2015-04-02 03:00:00,58.8025
2015-04-02 03:15:00,58.466
2015-04-02 03:30:00,58.3542
2015-04-02 03:45:00,58.2428
2015-04-02 04:00:00,58.1315
2015-04-02 04:15:00,58.9151
2015-04-02 04:30:00,57.469
2015-04-02 04:45:00,57.0319
2015-04-02 05:00:00,57.9097
2015-04-02 05:15:00,58.1315
2015-04-02 05:30:00,57.9097
2015-04-02 05:45:00,56.8148
2015-04-02 06:00:00,57.7992
2015-04-02 06:15:00,57.9097
2015-04-02 06:30:00,57.469
2015-04-02 06:45:00,57.1408
2015-04-02 07:00:00,56.9232
2015-04-02 07:15:00,56.9232
2015-04-02 07:30:00,56.7066
2015-04-02 07:45:00,56.8148
2015-04-02 08:00:00,57.25
2015-04-02 08:15:00,56.7066
2015-04-02 08:30:00,56.8148
